Gender,Age,Household Income,Education,Location (Census Region),count
Male,30-44,"$100,000 - $149,999",Less than high school degree,South Atlantic,109162
Female,30-44,"$100,000 - $149,999",Less than high school degree,South Atlantic,69080
Male,45-60,"$100,000 - $149,999",Less than high school degree,South Atlantic,128168
Female,45-60,"$100,000 - $149,999",Less than high school degree,South Atlantic,90133
Male,> 60,"$100,000 - $149,999",Less than high school degree,South Atlantic,90979
Female,> 60,"$100,000 - $149,999",Less than high school degree,South Atlantic,91239
Male,18-29,"$150,000+",Less than high school degree,South Atlantic,124145
Female,18-29,"$150,000+",Less than high school degree,South Atlantic,90936
Male,30-44,"$150,000+",Less than high school degree,South Atlantic,85809
Female,30-44,"$150,000+",Less than high school degree,South Atlantic,56029
Male,45-60,"$150,000+",Less than high school degree,South Atlantic,103866
Female,45-60,"$150,000+",Less than high school degree,South Atlantic,73243
Male,> 60,"$150,000+",Less than high school degree,South Atlantic,75936
Female,> 60,"$150,000+",Less than high school degree,South Atlantic,88691
Male,18-29,"$0 - $24,999",High school degree,South Atlantic,126363
Female,18-29,"$0 - $24,999",High school degree,South Atlantic,149299
Male,30-44,"$0 - $24,999",High school degree,South Atlantic,128257
Female,30-44,"$0 - $24,999",High school degree,South Atlantic,149807
Male,45-60,"$0 - $24,999",High school degree,South Atlantic,141604
Female,45-60,"$0 - $24,999",High school degree,South Atlantic,177050
Male,> 60,"$0 - $24,999",High school degree,South Atlantic,300677
Female,> 60,"$0 - $24,999",High school degree,South Atlantic,544690
Male,18-29,"$25,000 - $49,999",High school degree,South Atlantic,257082
Female,18-29,"$25,000 - $49,999",High school degree,South Atlantic,230187
Male,30-44,"$25,000 - $49,999",High school degree,South Atlantic,286232
Female,30-44,"$25,000 - $49,999",High school degree,South Atlantic,279437
Male,45-60,"$25,000 - $49,999",High school degree,South Atlantic,254916
Female,45-60,"$25,000 - $49,999",High school degree,South Atlantic,264507
Male,> 60,"$25,000 - $49,999",High school degree,South Atlantic,453352
Female,> 60,"$25,000 - $49,999",High school degree,South Atlantic,645359
Male,18-29,"$50,000 - $99,999",High school degree,South Atlantic,578046
Female,18-29,"$50,000 - $99,999",High school degree,South Atlantic,441675
Male,30-44,"$50,000 - $99,999",High school degree,South Atlantic,643213
Female,30-44,"$50,000 - $99,999",High school degree,South Atlantic,451073
Male,45-60,"$50,000 - $99,999",High school degree,South Atlantic,587553
Female,45-60,"$50,000 - $99,999",High school degree,South Atlantic,493533
Male,> 60,"$50,000 - $99,999",High school degree,South Atlantic,703272
Female,> 60,"$50,000 - $99,999",High school degree,South Atlantic,805567
Male,18-29,"$100,000 - $149,999",High school degree,South Atlantic,411490
Female,18-29,"$100,000 - $149,999",High school degree,South Atlantic,273839
Male,30-44,"$100,000 - $149,999",High school degree,South Atlantic,391589
Female,30-44,"$100,000 - $149,999",High school degree,South Atlantic,253482
Male,45-60,"$100,000 - $149,999",High school degree,South Atlantic,397725
Female,45-60,"$100,000 - $149,999",High school degree,South Atlantic,320383
Male,> 60,"$100,000 - $149,999",High school degree,South Atlantic,307559
Female,> 60,"$100,000 - $149,999",High school degree,South Atlantic,337658
Male,18-29,"$150,000+",High school degree,South Atlantic,413899
Female,18-29,"$150,000+",High school degree,South Atlantic,274163
Male,30-44,"$150,000+",High school degree,South Atlantic,299161
Female,30-44,"$150,000+",High school degree,South Atlantic,189184
Male,45-60,"$150,000+",High school degree,South Atlantic,376469
Female,45-60,"$150,000+",High school degree,South Atlantic,281680
Male,> 60,"$150,000+",High school degree,South Atlantic,239245
Female,> 60,"$150,000+",High school degree,South Atlantic,301147
Male,18-29,"$0 - $24,999",Some college or Associate degree,South Atlantic,110348
Female,18-29,"$0 - $24,999",Some college or Associate degree,South Atlantic,158151
Male,30-44,"$0 - $24,999",Some college or Associate degree,South Atlantic,75923
Female,30-44,"$0 - $24,999",Some college or Associate degree,South Atlantic,152366
Male,45-60,"$0 - $24,999",Some college or Associate degree,South Atlantic,90954
Female,45-60,"$0 - $24,999",Some college or Associate degree,South Atlantic,154528
Male,> 60,"$0 - $24,999",Some college or Associate degree,South Atlantic,205578
Female,> 60,"$0 - $24,999",Some college or Associate degree,South Atlantic,419586
Male,18-29,"$25,000 - $49,999",Some college or Associate degree,South Atlantic,189479
Female,18-29,"$25,000 - $49,999",Some college or Associate degree,South Atlantic,241430
Male,30-44,"$25,000 - $49,999",Some college or Associate degree,South Atlantic,186682
Female,30-44,"$25,000 - $49,999",Some college or Associate degree,South Atlantic,318285
Male,45-60,"$25,000 - $49,999",Some college or Associate degree,South Atlantic,162832
Female,45-60,"$25,000 - $49,999",Some college or Associate degree,South Atlantic,269146
Male,> 60,"$25,000 - $49,999",Some college or Associate degree,South Atlantic,332530
Female,> 60,"$25,000 - $49,999",Some college or Associate degree,South Atlantic,540160
Male,18-29,"$50,000 - $99,999",Some college or Associate degree,South Atlantic,432686
Female,18-29,"$50,000 - $99,999",Some college or Associate degree,South Atlantic,495298
Male,30-44,"$50,000 - $99,999",Some college or Associate degree,South Atlantic,581238
Female,30-44,"$50,000 - $99,999",Some college or Associate degree,South Atlantic,651460
Male,45-60,"$50,000 - $99,999",Some college or Associate degree,South Atlantic,457794
Female,45-60,"$50,000 - $99,999",Some college or Associate degree,South Atlantic,584022
Male,> 60,"$50,000 - $99,999",Some college or Associate degree,South Atlantic,678946
Female,> 60,"$50,000 - $99,999",Some college or Associate degree,South Atlantic,852999
Male,18-29,"$100,000 - $149,999",Some college or Associate degree,South Atlantic,301506
Female,18-29,"$100,000 - $149,999",Some college or Associate degree,South Atlantic,304145
Male,30-44,"$100,000 - $149,999",Some college or Associate degree,South Atlantic,458774
Female,30-44,"$100,000 - $149,999",Some college or Associate degree,South Atlantic,439279
Male,45-60,"$100,000 - $149,999",Some college or Associate degree,South Atlantic,401988
Female,45-60,"$100,000 - $149,999",Some college or Associate degree,South Atlantic,436758
Male,> 60,"$100,000 - $149,999",Some college or Associate degree,South Atlantic,367934
Female,> 60,"$100,000 - $149,999",Some college or Associate degree,South Atlantic,404076
Male,18-29,"$150,000+",Some college or Associate degree,South Atlantic,386783
Female,18-29,"$150,000+",Some college or Associate degree,South Atlantic,337256
Male,30-44,"$150,000+",Some college or Associate degree,South Atlantic,427393
Female,30-44,"$150,000+",Some college or Associate degree,South Atlantic,364177
Male,45-60,"$150,000+",Some college or Associate degree,South Atlantic,530341
Female,45-60,"$150,000+",Some college or Associate degree,South Atlantic,525004
Male,> 60,"$150,000+",Some college or Associate degree,South Atlantic,345046
Female,> 60,"$150,000+",Some college or Associate degree,South Atlantic,400373
Male,18-29,"$0 - $24,999",Bachelor degree,South Atlantic,49897
Female,18-29,"$0 - $24,999",Bachelor degree,South Atlantic,64137
Male,30-44,"$0 - $24,999",Bachelor degree,South Atlantic,40710
Female,30-44,"$0 - $24,999",Bachelor degree,South Atlantic,56349
Male,45-60,"$0 - $24,999",Bachelor degree,South Atlantic,35296
Female,45-60,"$0 - $24,999",Bachelor degree,South Atlantic,52483
Male,> 60,"$0 - $24,999",Bachelor degree,South Atlantic,96484
Female,> 60,"$0 - $24,999",Bachelor degree,South Atlantic,141577
Male,18-29,"$25,000 - $49,999",Bachelor degree,South Atlantic,66842
Female,18-29,"$25,000 - $49,999",Bachelor degree,South Atlantic,123838
Male,30-44,"$25,000 - $49,999",Bachelor degree,South Atlantic,87861
Female,30-44,"$25,000 - $49,999",Bachelor degree,South Atlantic,135471
Male,45-60,"$25,000 - $49,999",Bachelor degree,South Atlantic,76633
Female,45-60,"$25,000 - $49,999",Bachelor degree,South Atlantic,106234
Male,> 60,"$25,000 - $49,999",Bachelor degree,South Atlantic,160690
Female,> 60,"$25,000 - $49,999",Bachelor degree,South Atlantic,232467
Male,18-29,"$50,000 - $99,999",Bachelor degree,South Atlantic,241880
Female,18-29,"$50,000 - $99,999",Bachelor degree,South Atlantic,330487
Male,30-44,"$50,000 - $99,999",Bachelor degree,South Atlantic,357897
Female,30-44,"$50,000 - $99,999",Bachelor degree,South Atlantic,483285
Male,45-60,"$50,000 - $99,999",Bachelor degree,South Atlantic,232794
Female,45-60,"$50,000 - $99,999",Bachelor degree,South Atlantic,354081
Male,> 60,"$50,000 - $99,999",Bachelor degree,South Atlantic,421197
Female,> 60,"$50,000 - $99,999",Bachelor degree,South Atlantic,467269
Male,18-29,"$100,000 - $149,999",Bachelor degree,South Atlantic,209257
Female,18-29,"$100,000 - $149,999",Bachelor degree,South Atlantic,266337
Male,30-44,"$100,000 - $149,999",Bachelor degree,South Atlantic,405715
Female,30-44,"$100,000 - $149,999",Bachelor degree,South Atlantic,444825
Male,45-60,"$100,000 - $149,999",Bachelor degree,South Atlantic,283309
Female,45-60,"$100,000 - $149,999",Bachelor degree,South Atlantic,332428
Male,> 60,"$100,000 - $149,999",Bachelor degree,South Atlantic,307971
Female,> 60,"$100,000 - $149,999",Bachelor degree,South Atlantic,310126
Male,18-29,"$150,000+",Bachelor degree,South Atlantic,310439
Female,18-29,"$150,000+",Bachelor degree,South Atlantic,331878
Male,30-44,"$150,000+",Bachelor degree,South Atlantic,708844
Female,30-44,"$150,000+",Bachelor degree,South Atlantic,745581
Male,45-60,"$150,000+",Bachelor degree,South Atlantic,737235
Female,45-60,"$150,000+",Bachelor degree,South Atlantic,754207
Male,> 60,"$150,000+",Bachelor degree,South Atlantic,496224
Female,> 60,"$150,000+",Bachelor degree,South Atlantic,457259
Male,18-29,"$0 - $24,999",Graduate degree,South Atlantic,8720
Female,18-29,"$0 - $24,999",Graduate degree,South Atlantic,15789
Male,30-44,"$0 - $24,999",Graduate degree,South Atlantic,18980
Female,30-44,"$0 - $24,999",Graduate degree,South Atlantic,29368
Male,45-60,"$0 - $24,999",Graduate degree,South Atlantic,19850
Female,45-60,"$0 - $24,999",Graduate degree,South Atlantic,28975
Male,> 60,"$0 - $24,999",Graduate degree,South Atlantic,62952
Female,> 60,"$0 - $24,999",Graduate degree,South Atlantic,86866
Male,18-29,"$25,000 - $49,999",Graduate degree,South Atlantic,15541
Female,18-29,"$25,000 - $49,999",Graduate degree,South Atlantic,23932
Male,30-44,"$25,000 - $49,999",Graduate degree,South Atlantic,33406
Female,30-44,"$25,000 - $49,999",Graduate degree,South Atlantic,49643
Male,45-60,"$25,000 - $49,999",Graduate degree,South Atlantic,32865
Female,45-60,"$25,000 - $49,999",Graduate degree,South Atlantic,53712
Male,> 60,"$25,000 - $49,999",Graduate degree,South Atlantic,96109
Female,> 60,"$25,000 - $49,999",Graduate degree,South Atlantic,122373
Male,18-29,"$50,000 - $99,999",Graduate degree,South Atlantic,46854
Female,18-29,"$50,000 - $99,999",Graduate degree,South Atlantic,82014
Male,30-44,"$50,000 - $99,999",Graduate degree,South Atlantic,160357
Female,30-44,"$50,000 - $99,999",Graduate degree,South Atlantic,261057
Male,45-60,"$50,000 - $99,999",Graduate degree,South Atlantic,124745
Female,45-60,"$50,000 - $99,999",Graduate degree,South Atlantic,221170
Male,> 60,"$50,000 - $99,999",Graduate degree,South Atlantic,274928
Female,> 60,"$50,000 - $99,999",Graduate degree,South Atlantic,325291
Male,18-29,"$100,000 - $149,999",Graduate degree,South Atlantic,51257
Female,18-29,"$100,000 - $149,999",Graduate degree,South Atlantic,87077
Male,30-44,"$100,000 - $149,999",Graduate degree,South Atlantic,209763
Female,30-44,"$100,000 - $149,999",Graduate degree,South Atlantic,314290
Male,45-60,"$100,000 - $149,999",Graduate degree,South Atlantic,154866
Female,45-60,"$100,000 - $149,999",Graduate degree,South Atlantic,241502
Male,> 60,"$100,000 - $149,999",Graduate degree,South Atlantic,265280
Female,> 60,"$100,000 - $149,999",Graduate degree,South Atlantic,243201
Male,18-29,"$150,000+",Graduate degree,South Atlantic,67028
Female,18-29,"$150,000+",Graduate degree,South Atlantic,110858
Male,30-44,"$150,000+",Graduate degree,South Atlantic,580406
Female,30-44,"$150,000+",Graduate degree,South Atlantic,743733
Male,45-60,"$150,000+",Graduate degree,South Atlantic,678233
Female,45-60,"$150,000+",Graduate degree,South Atlantic,703894
Male,> 60,"$150,000+",Graduate degree,South Atlantic,581759
Female,> 60,"$150,000+",Graduate degree,South Atlantic,405600
Male,18-29,"$0 - $24,999",Less than high school degree,East South Central,26465
Female,18-29,"$0 - $24,999",Less than high school degree,East South Central,19940
Male,30-44,"$0 - $24,999",Less than high school degree,East South Central,24866
Female,30-44,"$0 - $24,999",Less than high school degree,East South Central,35824
Male,45-60,"$0 - $24,999",Less than high school degree,East South Central,44337
Female,45-60,"$0 - $24,999",Less than high school degree,East South Central,50423
Male,> 60,"$0 - $24,999",Less than high school degree,East South Central,90396
Female,> 60,"$0 - $24,999",Less than high school degree,East South Central,102409
Male,18-29,"$25,000 - $49,999",Less than high school degree,East South Central,31658
Female,18-29,"$25,000 - $49,999",Less than high school degree,East South Central,29390
Male,30-44,"$25,000 - $49,999",Less than high school degree,East South Central,43647
Female,30-44,"$25,000 - $49,999",Less than high school degree,East South Central,32712
Male,45-60,"$25,000 - $49,999",Less than high school degree,East South Central,47512
Female,45-60,"$25,000 - $49,999",Less than high school degree,East South Central,39871
Male,> 60,"$25,000 - $49,999",Less than high school degree,East South Central,85421
Female,> 60,"$25,000 - $49,999",Less than high school degree,East South Central,76417
Male,18-29,"$50,000 - $99,999",Less than high school degree,East South Central,49834
Female,18-29,"$50,000 - $99,999",Less than high school degree,East South Central,32866
Male,30-44,"$50,000 - $99,999",Less than high school degree,East South Central,60563
Female,30-44,"$50,000 - $99,999",Less than high school degree,East South Central,41872
Male,45-60,"$50,000 - $99,999",Less than high school degree,East South Central,69927
Female,45-60,"$50,000 - $99,999",Less than high school degree,East South Central,50584
Male,> 60,"$50,000 - $99,999",Less than high school degree,East South Central,60770
Female,> 60,"$50,000 - $99,999",Less than high school degree,East South Central,59186
Male,18-29,"$100,000 - $149,999",Less than high school degree,East South Central,25492
Female,18-29,"$100,000 - $149,999",Less than high school degree,East South Central,16607
Male,30-44,"$100,000 - $149,999",Less than high school degree,East South Central,22499
Female,30-44,"$100,000 - $149,999",Less than high school degree,East South Central,17854
Male,45-60,"$100,000 - $149,999",Less than high school degree,East South Central,28960
Female,45-60,"$100,000 - $149,999",Less than high school degree,East South Central,21189
Male,> 60,"$100,000 - $149,999",Less than high school degree,East South Central,19909
Female,> 60,"$100,000 - $149,999",Less than high school degree,East South Central,16872
Male,18-29,"$150,000+",Less than high school degree,East South Central,33470
Female,18-29,"$150,000+",Less than high school degree,East South Central,16806
Male,30-44,"$150,000+",Less than high school degree,East South Central,17976
Female,30-44,"$150,000+",Less than high school degree,East South Central,8814
Male,45-60,"$150,000+",Less than high school degree,East South Central,20745
Female,45-60,"$150,000+",Less than high school degree,East South Central,13012
Male,> 60,"$150,000+",Less than high school degree,East South Central,16744
Female,> 60,"$150,000+",Less than high school degree,East South Central,16153
Male,18-29,"$0 - $24,999",High school degree,East South Central,58006
Female,18-29,"$0 - $24,999",High school degree,East South Central,76228
Male,30-44,"$0 - $24,999",High school degree,East South Central,51430
Female,30-44,"$0 - $24,999",High school degree,East South Central,71837
Male,45-60,"$0 - $24,999",High school degree,East South Central,66517
Female,45-60,"$0 - $24,999",High school degree,East South Central,85631
Male,> 60,"$0 - $24,999",High school degree,East South Central,112134
Female,> 60,"$0 - $24,999",High school degree,East South Central,202476
Male,18-29,"$25,000 - $49,999",High school degree,East South Central,104012
Female,18-29,"$25,000 - $49,999",High school degree,East South Central,88269
Male,30-44,"$25,000 - $49,999",High school degree,East South Central,96329
Female,30-44,"$25,000 - $49,999",High school degree,East South Central,95164
Male,45-60,"$25,000 - $49,999",High school degree,East South Central,100378
Female,45-60,"$25,000 - $49,999",High school degree,East South Central,100608
Male,> 60,"$25,000 - $49,999",High school degree,East South Central,179355
Female,> 60,"$25,000 - $49,999",High school degree,East South Central,231578
Male,18-29,"$50,000 - $99,999",High school degree,East South Central,211771
Female,18-29,"$50,000 - $99,999",High school degree,East South Central,144766
Male,30-44,"$50,000 - $99,999",High school degree,East South Central,229051
Female,30-44,"$50,000 - $99,999",High school degree,East South Central,153859
Male,45-60,"$50,000 - $99,999",High school degree,East South Central,199211
Female,45-60,"$50,000 - $99,999",High school degree,East South Central,172394
Male,> 60,"$50,000 - $99,999",High school degree,East South Central,236809
Female,> 60,"$50,000 - $99,999",High school degree,East South Central,261976
Male,18-29,"$100,000 - $149,999",High school degree,East South Central,117313
Female,18-29,"$100,000 - $149,999",High school degree,East South Central,72164
Male,30-44,"$100,000 - $149,999",High school degree,East South Central,111627
Female,30-44,"$100,000 - $149,999",High school degree,East South Central,78306
Male,45-60,"$100,000 - $149,999",High school degree,East South Central,124475
Female,45-60,"$100,000 - $149,999",High school degree,East South Central,91676
Male,> 60,"$100,000 - $149,999",High school degree,East South Central,84407
Female,> 60,"$100,000 - $149,999",High school degree,East South Central,87712
Male,18-29,"$150,000+",High school degree,East South Central,98669
Female,18-29,"$150,000+",High school degree,East South Central,59201
Male,30-44,"$150,000+",High school degree,East South Central,67271
Female,30-44,"$150,000+",High school degree,East South Central,40666
Male,45-60,"$150,000+",High school degree,East South Central,99431
Female,45-60,"$150,000+",High school degree,East South Central,64300
Male,> 60,"$150,000+",High school degree,East South Central,57059
Female,> 60,"$150,000+",High school degree,East South Central,64142
Male,18-29,"$0 - $24,999",Some college or Associate degree,East South Central,39744
Female,18-29,"$0 - $24,999",Some college or Associate degree,East South Central,69473
Male,30-44,"$0 - $24,999",Some college or Associate degree,East South Central,31377
Female,30-44,"$0 - $24,999",Some college or Associate degree,East South Central,64264
Male,45-60,"$0 - $24,999",Some college or Associate degree,East South Central,33637
Female,45-60,"$0 - $24,999",Some college or Associate degree,East South Central,64621
Male,> 60,"$0 - $24,999",Some college or Associate degree,East South Central,58925
Female,> 60,"$0 - $24,999",Some college or Associate degree,East South Central,131126
Male,18-29,"$25,000 - $49,999",Some college or Associate degree,East South Central,62234
Female,18-29,"$25,000 - $49,999",Some college or Associate degree,East South Central,88984
Male,30-44,"$25,000 - $49,999",Some college or Associate degree,East South Central,68920
Female,30-44,"$25,000 - $49,999",Some college or Associate degree,East South Central,118153
Male,45-60,"$25,000 - $49,999",Some college or Associate degree,East South Central,53319
Female,45-60,"$25,000 - $49,999",Some college or Associate degree,East South Central,91377
Male,> 60,"$25,000 - $49,999",Some college or Associate degree,East South Central,103287
Female,> 60,"$25,000 - $49,999",Some college or Associate degree,East South Central,168124
Male,18-29,"$50,000 - $99,999",Some college or Associate degree,East South Central,154625
Female,18-29,"$50,000 - $99,999",Some college or Associate degree,East South Central,155429
Male,30-44,"$50,000 - $99,999",Some college or Associate degree,East South Central,196680
Female,30-44,"$50,000 - $99,999",Some college or Associate degree,East South Central,215000
Male,45-60,"$50,000 - $99,999",Some college or Associate degree,East South Central,158333
Female,45-60,"$50,000 - $99,999",Some college or Associate degree,East South Central,189886
Male,> 60,"$50,000 - $99,999",Some college or Associate degree,East South Central,196249
Female,> 60,"$50,000 - $99,999",Some college or Associate degree,East South Central,239567
Male,18-29,"$100,000 - $149,999",Some college or Associate degree,East South Central,87128
Female,18-29,"$100,000 - $149,999",Some college or Associate degree,East South Central,88587
Male,30-44,"$100,000 - $149,999",Some college or Associate degree,East South Central,135303
Female,30-44,"$100,000 - $149,999",Some college or Associate degree,East South Central,132115
Male,45-60,"$100,000 - $149,999",Some college or Associate degree,East South Central,135070
Female,45-60,"$100,000 - $149,999",Some college or Associate degree,East South Central,130155
Male,> 60,"$100,000 - $149,999",Some college or Associate degree,East South Central,90648
Female,> 60,"$100,000 - $149,999",Some college or Associate degree,East South Central,95702
Male,18-29,"$150,000+",Some college or Associate degree,East South Central,87188
Female,18-29,"$150,000+",Some college or Associate degree,East South Central,73173
Male,30-44,"$150,000+",Some college or Associate degree,East South Central,100078
Female,30-44,"$150,000+",Some college or Associate degree,East South Central,92516
Male,45-60,"$150,000+",Some college or Associate degree,East South Central,132282
Female,45-60,"$150,000+",Some college or Associate degree,East South Central,130680
Male,> 60,"$150,000+",Some college or Associate degree,East South Central,72736
Female,> 60,"$150,000+",Some college or Associate degree,East South Central,83793
Male,18-29,"$0 - $24,999",Bachelor degree,East South Central,18307
Female,18-29,"$0 - $24,999",Bachelor degree,East South Central,22448
Male,30-44,"$0 - $24,999",Bachelor degree,East South Central,8225
Female,30-44,"$0 - $24,999",Bachelor degree,East South Central,14599
Male,45-60,"$0 - $24,999",Bachelor degree,East South Central,11328
Female,45-60,"$0 - $24,999",Bachelor degree,East South Central,15219
Male,> 60,"$0 - $24,999",Bachelor degree,East South Central,20425
Female,> 60,"$0 - $24,999",Bachelor degree,East South Central,35227
Male,18-29,"$25,000 - $49,999",Bachelor degree,East South Central,24166
Female,18-29,"$25,000 - $49,999",Bachelor degree,East South Central,39251
Male,30-44,"$25,000 - $49,999",Bachelor degree,East South Central,20472
Female,30-44,"$25,000 - $49,999",Bachelor degree,East South Central,29221
Male,45-60,"$25,000 - $49,999",Bachelor degree,East South Central,21841
Female,45-60,"$25,000 - $49,999",Bachelor degree,East South Central,30714
Male,> 60,"$25,000 - $49,999",Bachelor degree,East South Central,41702
Female,> 60,"$25,000 - $49,999",Bachelor degree,East South Central,58198
Male,18-29,"$50,000 - $99,999",Bachelor degree,East South Central,73402
Female,18-29,"$50,000 - $99,999",Bachelor degree,East South Central,96144
Male,30-44,"$50,000 - $99,999",Bachelor degree,East South Central,92692
Female,30-44,"$50,000 - $99,999",Bachelor degree,East South Central,125887
Male,45-60,"$50,000 - $99,999",Bachelor degree,East South Central,61059
Female,45-60,"$50,000 - $99,999",Bachelor degree,East South Central,83291
Male,> 60,"$50,000 - $99,999",Bachelor degree,East South Central,104873
Female,> 60,"$50,000 - $99,999",Bachelor degree,East South Central,108982
Male,18-29,"$100,000 - $149,999",Bachelor degree,East South Central,56798
Female,18-29,"$100,000 - $149,999",Bachelor degree,East South Central,64234
Male,30-44,"$100,000 - $149,999",Bachelor degree,East South Central,104731
Female,30-44,"$100,000 - $149,999",Bachelor degree,East South Central,119069
Male,45-60,"$100,000 - $149,999",Bachelor degree,East South Central,70626
Female,45-60,"$100,000 - $149,999",Bachelor degree,East South Central,86199
Male,> 60,"$100,000 - $149,999",Bachelor degree,East South Central,67390
Female,> 60,"$100,000 - $149,999",Bachelor degree,East South Central,62661
Male,18-29,"$150,000+",Bachelor degree,East South Central,47728
Female,18-29,"$150,000+",Bachelor degree,East South Central,51095
Male,30-44,"$150,000+",Bachelor degree,East South Central,138200
Female,30-44,"$150,000+",Bachelor degree,East South Central,145152
Male,45-60,"$150,000+",Bachelor degree,East South Central,155642
Female,45-60,"$150,000+",Bachelor degree,East South Central,149959
Male,> 60,"$150,000+",Bachelor degree,East South Central,89283
Female,> 60,"$150,000+",Bachelor degree,East South Central,73309
Male,18-29,"$0 - $24,999",Graduate degree,East South Central,2229
Female,18-29,"$0 - $24,999",Graduate degree,East South Central,4605
Male,30-44,"$0 - $24,999",Graduate degree,East South Central,8701
Female,30-44,"$0 - $24,999",Graduate degree,East South Central,5907
Male,45-60,"$0 - $24,999",Graduate degree,East South Central,4488
Female,45-60,"$0 - $24,999",Graduate degree,East South Central,8668
Male,> 60,"$0 - $24,999",Graduate degree,East South Central,8297
Female,> 60,"$0 - $24,999",Graduate degree,East South Central,17307
Male,18-29,"$25,000 - $49,999",Graduate degree,East South Central,6220
Female,18-29,"$25,000 - $49,999",Graduate degree,East South Central,9413
Male,30-44,"$25,000 - $49,999",Graduate degree,East South Central,11321
Female,30-44,"$25,000 - $49,999",Graduate degree,East South Central,16044
Male,45-60,"$25,000 - $49,999",Graduate degree,East South Central,6290
Female,45-60,"$25,000 - $49,999",Graduate degree,East South Central,13429
Male,> 60,"$25,000 - $49,999",Graduate degree,East South Central,20214
Female,> 60,"$25,000 - $49,999",Graduate degree,East South Central,32003
Male,18-29,"$50,000 - $99,999",Graduate degree,East South Central,13883
Female,18-29,"$50,000 - $99,999",Graduate degree,East South Central,25505
Male,30-44,"$50,000 - $99,999",Graduate degree,East South Central,42308
Female,30-44,"$50,000 - $99,999",Graduate degree,East South Central,66525
Male,45-60,"$50,000 - $99,999",Graduate degree,East South Central,30946
Female,45-60,"$50,000 - $99,999",Graduate degree,East South Central,57985
Male,> 60,"$50,000 - $99,999",Graduate degree,East South Central,62849
Female,> 60,"$50,000 - $99,999",Graduate degree,East South Central,82130
Male,18-29,"$100,000 - $149,999",Graduate degree,East South Central,12330
Female,18-29,"$100,000 - $149,999",Graduate degree,East South Central,28094
Male,30-44,"$100,000 - $149,999",Graduate degree,East South Central,54588
Female,30-44,"$100,000 - $149,999",Graduate degree,East South Central,88749
Male,45-60,"$100,000 - $149,999",Graduate degree,East South Central,45424
Female,45-60,"$100,000 - $149,999",Graduate degree,East South Central,67728
Male,> 60,"$100,000 - $149,999",Graduate degree,East South Central,49140
Female,> 60,"$100,000 - $149,999",Graduate degree,East South Central,51788
Male,18-29,"$150,000+",Graduate degree,East South Central,12076
Female,18-29,"$150,000+",Graduate degree,East South Central,18057
Male,30-44,"$150,000+",Graduate degree,East South Central,91870
Female,30-44,"$150,000+",Graduate degree,East South Central,143254
Male,45-60,"$150,000+",Graduate degree,East South Central,113477
Female,45-60,"$150,000+",Graduate degree,East South Central,137778
Male,> 60,"$150,000+",Graduate degree,East South Central,89737
Female,> 60,"$150,000+",Graduate degree,East South Central,66696
Male,18-29,"$0 - $24,999",Less than high school degree,West South Central,60309
Female,18-29,"$0 - $24,999",Less than high school degree,West South Central,62424
Male,30-44,"$0 - $24,999",Less than high school degree,West South Central,65874
Female,30-44,"$0 - $24,999",Less than high school degree,West South Central,83064
Male,45-60,"$0 - $24,999",Less than high school degree,West South Central,83927
Female,45-60,"$0 - $24,999",Less than high school degree,West South Central,99053
Male,> 60,"$0 - $24,999",Less than high school degree,West South Central,154002
Female,> 60,"$0 - $24,999",Less than high school degree,West South Central,214813
Male,18-29,"$25,000 - $49,999",Less than high school degree,West South Central,88342
Female,18-29,"$25,000 - $49,999",Less than high school degree,West South Central,76833
Male,30-44,"$25,000 - $49,999",Less than high school degree,West South Central,130022
Female,30-44,"$25,000 - $49,999",Less than high school degree,West South Central,106400
Male,45-60,"$25,000 - $49,999",Less than high school degree,West South Central,115351
Female,45-60,"$25,000 - $49,999",Less than high school degree,West South Central,111475
Male,> 60,"$25,000 - $49,999",Less than high school degree,West South Central,146611
Female,> 60,"$25,000 - $49,999",Less than high school degree,West South Central,145666
Male,18-29,"$50,000 - $99,999",Less than high school degree,West South Central,146882
Female,18-29,"$50,000 - $99,999",Less than high school degree,West South Central,82463
Male,30-44,"$50,000 - $99,999",Less than high school degree,West South Central,169726
Female,30-44,"$50,000 - $99,999",Less than high school degree,West South Central,131837
Male,45-60,"$50,000 - $99,999",Less than high school degree,West South Central,209320
Female,45-60,"$50,000 - $99,999",Less than high school degree,West South Central,161910
Male,> 60,"$50,000 - $99,999",Less than high school degree,West South Central,141052
Female,> 60,"$50,000 - $99,999",Less than high school degree,West South Central,157021
Male,18-29,"$100,000 - $149,999",Less than high school degree,West South Central,71281
Female,18-29,"$100,000 - $149,999",Less than high school degree,West South Central,47730
Male,30-44,"$100,000 - $149,999",Less than high school degree,West South Central,75510
Female,30-44,"$100,000 - $149,999",Less than high school degree,West South Central,49200
Male,45-60,"$100,000 - $149,999",Less than high school degree,West South Central,99136
Female,45-60,"$100,000 - $149,999",Less than high school degree,West South Central,83463
Male,> 60,"$100,000 - $149,999",Less than high school degree,West South Central,58348
Female,> 60,"$100,000 - $149,999",Less than high school degree,West South Central,68514
Male,18-29,"$150,000+",Less than high school degree,West South Central,65086
Female,18-29,"$150,000+",Less than high school degree,West South Central,52039
Male,30-44,"$150,000+",Less than high school degree,West South Central,46476
Female,30-44,"$150,000+",Less than high school degree,West South Central,31725
